ItemNumber,ItemName,CategoryName,CountryState
650,Dom Carneros Brut 750ml 2003,Wine - Sparkling,California
505,Colombo Marsala Sweet 750ml,Dessert,Italy
1948,Woodbridge Mondavi Zinfandel 1.5L,1.5L Other Red,California
1936,Woodbridge Mondavi Chardonnay 750ml,Chardonnay,California
1511,Ravenswood Zinfandel Sonoma 750ml,Zinfandel,California
953,Harveys Bristol Cream Sherry 1.5L,Port/Sherry,Spain
1140,Latour Chardonnay Ardeche 750ml,Chardonnay,France
932,Groth Sauvignon Blanc Napa Valley 750ml 2006,Sauvignon Blanc,California
272,Bogle Sauvignon Blanc 750ml,Sauvignon Blanc,California
46,Almaden Chardonnay 5LBox,Box Wines,California
45,Almaden Cabernet 5LBox,Box Wines,California
1258,Matanzas Creek Chardonnay Alex Vly 750ml,Chardonnay,California
319,Buehler Cabernet Napa 750ml,Cabernet Sauvignon,California
283,Bonterra Chardonnay 750ml,Chardonnay,California
813,Franciscan Merlot 750ml,Merlot,California
812,Franciscan Magnificat Meritage 750ml,Cabernet Sauvignon,California
721,Estancia Cabernet 750ml,Cabernet Sauvignon,California
1437,Penfolds Cab-Shiraz Bin 389 750ml,Cabernet Sauvignon,Australia
543,Conundrum White 750ml 2010,Sauvignon Blanc,California
1675,Skyside (Newton) Chardonnay 750ml,Chardonnay,California
1442,Pepperwood Grove Pinot Noir 750ml,Pinot Noir,Chile
265,Bogle Chardonnay 750ml,Chardonnay,California
545,Cooks Brut 187ml-4p,Wine - Sparkling,California
1635,Sebastiani Cabernet Sonoma 750ml,Cabernet Sauvignon,California
578,Corbett Canyon Sauvignon Blanc 1.5L,1.5L Sauv Blanc,California
1600,S Sohne Liebfraumilch 1.5L,1.5L Other White,Germany
1749,Sutter Home Fre Red Blend 750ml,Wine (Misc),California
70,Antinori Peppoli Chianti Classico 750ml 2007,Tuscany,Italy
1094,King Estate Pinot Noir Willamette 750ml,Pinot Noir,Oregon
860,Frog's Leap Zinfandel 750ml,Zinfandel,California
311,BR Cohn Cabernet Silver Label 750ml,Cabernet Sauvignon,California
388,Cavit Pinot Grigio 1.5L,1.5L Pinot Grigio,Italy
389,Cavit Pinot Grigio 187ml-4p,Wine (Misc),Italy
390,Cavit Pinot Grigio 750ml,Pinot Grigio,Italy
1618,Santa Margherita Pinot Grigio 750ml,Pinot Grigio,Italy
119,Banfi Chianti Classico Riserva 750ml,Tuscany,Italy
1467,Placido Chianti 1.5L,1.5L Other Red,Italy
1553,Riunite Treb/Moscato 1.5L,Wine - White Zin./Beverage,Italy
1552,Riunite Lambrusco 750ml,Wine - White Zin./Beverage,Italy
1779,Taittinger La Francaise Brut NV 750ml,French Champagne,France
504,Colombo Marsala Dry 750ml,Dessert,Italy
794,Fonseca Bin 27 750ml,Port/Sherry,Portugal
343,Cambria Chardonnay Katherine's 750ml,Chardonnay,California
836,Franzia White Zinfandel 5LBox,Box Wines,Global
1598,Rutherford Hill Merlot Napa 750ml,Merlot,California
1241,Markham Chardonnay Napa 750ml,Chardonnay,California
1329,Mondavi Napa Merlot 750ml,Merlot,California
1946,Woodbridge Mondavi Sauv Blanc 1.5L,1.5L Sauv Blanc,California
1947,Woodbridge Mondavi Wt Zinfandel 1.5L,Wine - White Zin./Beverage,California
1507,Ravenswood Vintner's Merlot 750ml,Merlot,California
1508,Ravenswood Vintner's Zinfandel 750ml,Zinfandel,California
1952,Yago Sangria Sant'gria 3L,Wine - White Zin./Beverage,Spain
1252,Martini & Rossi Asti 1.5L,Wine - Sparkling,Italy
1141,Latour Chardonnay Grand Ardeche 750ml,Chardonnay,France
1119,La Crema Chardonnay Sonoma Coast 750ml,Chardonnay,California
1702,St Francis Merlot 750ml,Merlot,California
818,Franzia Cabernet 5LBox,Box Wines,Global
858,Frog's Leap Merlot 750ml,Merlot,California
